Date,Action,Signal,Price,Shares,Fee,Cash,Portfolio_Value,PnL
2023-11-30,SELL,Sell,189.9499969482422,86.66409646983664,16.461844859967634,16445.383015107665,16445.383015107665,1041.034421618484
2023-12-08,BUY,Buy,195.7100067138672,83.94531229111891,16.445383015107666,0.0,16428.93763209256,0.0
2024-01-02,SELL,Sell,185.63999938964844,83.94531229111891,15.583607722487162,15568.024114764676,15568.024114764676,-877.3589003429897
2024-01-19,BUY,Buy,191.55999755859375,81.18843333088255,15.568024114764675,0.0,15552.456090649912,0.0
2024-01-31,SELL,Sell,184.39999389648438,81.18843333088255,14.97114661067987,14956.17546406919,14956.17546406919,-611.848650695485
2024-03-18,BUY,Buy,173.72000122070312,86.00747860704308,14.95617546406919,0.0,14941.219288605122,0.0
2024-04-19,SELL,Strong Sell,165.0,86.00747860704308,14.19123397016211,14177.042736191946,14177.042736191946,-779.1327278772442
2024-04-25,BUY,Buy,169.88999938964844,83.36491697179153,14.177042736191947,0.0,14162.865693455755,0.0
2024-05-29,SELL,Sell,190.2899932861328,83.36491697179153,15.86350949086123,15847.64598137037,15847.64598137037,1670.603245178423
2024-06-05,BUY,Buy,195.8699951171875,80.82809378698845,15.84764598137037,0.0,15831.798335389,0.0
2024-06-10,SELL,Sell,193.1199951171875,80.82809378698845,15.609521077474783,15593.911556397308,15593.911556397308,-253.73442497306132
2024-06-11,BUY,Buy,207.14999389648438,75.20308039509575,15.593911556397309,0.0,15578.317644840909,0.0
2024-06-25,SELL,Sell,209.07000732421875,75.20308039509575,15.722708569006482,15706.985860437475,15706.985860437475,113.07430404016668
2024-07-02,BUY,Buy,220.27000427246094,71.23656680538244,15.706985860437475,0.0,15691.27887457704,0.0
2024-07-18,SELL,Sell,224.17999267578125,71.23656680538244,15.969813024678437,15953.843211653759,15953.843211653759,246.85735121628386
2024-08-02,BUY,Buy,219.86000061035156,72.49108216227172,15.953843211653759,0.0,15937.889368442107,0.0
2024-08-05,SELL,Sell,209.27000427246094,72.49108216227172,15.170209073813922,15155.038864740107,15155.038864740107,-798.8043469136519
2024-08-15,BUY,Strong Buy,224.72000122070312,67.37221317031816,15.155038864740106,0.0,15139.883825875368,0.0
2024-09-04,SELL,Sell,220.85000610351562,67.37221317031816,14.879153689872123,14864.27453618225,14864.27453618225,-290.76432855785606
2024-09-20,BUY,Buy,228.1999969482422,65.07191262151527,14.86427453618225,0.0,14849.410261646066,0.0
2024-10-07,SELL,Sell,221.69000244140625,65.07191262151527,14.425792467930695,14411.366675462763,14411.366675462763,-452.90786071948787
2024-10-10,BUY,Strong Buy,229.0399932861328,62.85782278556748,14.411366675462764,0.0,14396.955308787301,0.0
2024-10-25,SELL,Sell,231.41000366210938,62.85782278556748,14.545929001000392,14531.383071999391,14531.383071999391,120.01639653662824
2024-11-19,BUY,Buy,228.27999877929688,63.592306669680745,14.531383071999391,0.0,14516.851688927392,0.0
2024-12-30,SELL,Sell,252.1999969482422,63.592306669680745,16.037979548025167,16021.94156847714,16021.94156847714,1490.5584964777481
2025-01-29,BUY,Buy,239.36000061035156,66.86965067720031,16.02194156847714,0.0,16005.919626908662,0.0
2025-03-03,SELL,Sell,238.02999877929688,66.86965067720031,15.916982869065999,15901.065886196931,15901.065886196931,-120.87568228020791
2025-03-25,BUY,Buy,223.75,70.9951500349083,15.901065886196932,0.0,15885.164820310734,0.0
2025-04-03,SELL,Strong Sell,203.19000244140625,70.9951500349083,14.425504708921022,14411.079204212101,14411.079204212101,-1489.9866819848303
