Date,Close,Signal,Cash,Shares,Position_Value,Portfolio_Value
2021-05-13,124.97000122070312,Hold,10000.0,0.0,0.0,10000.0
2021-05-14,127.44999694824219,Buy,0.0,78.38368175133789,9990.0,9990.0
2021-05-17,126.2699966430664,Hold,0.0,78.38368175133789,9897.50723161262,9897.50723161262
2021-05-18,124.8499984741211,Hold,0.0,78.38368175133789,9786.202547050529,9786.202547050529
2021-05-19,124.69000244140625,Hold,0.0,78.38368175133789,9773.661468940732,9773.661468940732
2021-05-20,127.30999755859375,Buy,0.0,78.38368175133789,9979.026332396415,9979.026332396415
2021-05-21,125.43000030517578,Hold,0.0,78.38368175133789,9831.665225991113,9831.665225991113
2021-05-24,127.0999984741211,Buy,0.0,78.38368175133789,9962.56583099104,9962.56583099104
2021-05-25,126.9000015258789,Buy,0.0,78.38368175133789,9946.889333848785,9946.889333848785
2021-05-26,126.8499984741211,Buy,0.0,78.38368175133789,9942.969910553205,9942.969910553205
2021-05-27,125.27999877929688,Hold,0.0,78.38368175133789,9819.907554124406,9819.907554124406
2021-05-28,124.61000061035156,Sell,9757.623240244942,0.0,0.0,9757.623240244942
2021-06-01,124.27999877929688,Sell,9757.623240244942,0.0,0.0,9757.623240244942
2021-06-02,125.05999755859375,Sell,9757.623240244942,0.0,0.0,9757.623240244942
2021-06-03,123.54000091552734,Sell,9757.623240244942,0.0,0.0,9757.623240244942
2021-06-04,125.88999938964844,Hold,9757.623240244942,0.0,0.0,9757.623240244942
2021-06-07,125.9000015258789,Hold,9757.623240244942,0.0,0.0,9757.623240244942
2021-06-08,126.73999786376953,Buy,0.0,76.91230693788158,9747.865617004698,9747.865617004698
2021-06-09,127.12999725341797,Buy,0.0,76.91230693788158,9777.861369766924,9777.861369766924
2021-06-10,126.11000061035156,Buy,0.0,76.91230693788158,9699.411074879792,9699.411074879792
2021-06-11,127.3499984741211,Buy,0.0,76.91230693788158,9794.782171180352,9794.782171180352
